pair,month,variant,trades,win_rate,expectancy_r,max_drawdown_r,error
EURUSD,2025-11,orb_only,53,0.3018867924528302,-0.3115782881487159,22.513649271882077,
EURUSD,2025-11,trend_only,100,0.35,-0.16939960361387246,19.292924108693313,
EURUSD,2025-11,pattern_only,114,0.38596491228070173,-0.09773482549729727,20.104105447001437,
EURUSD,2025-11,composite_default,69,0.2608695652173913,-0.3863867467329809,31.013649271882088,
EURUSD,2025-12,orb_only,63,0.20634920634920634,-0.45865300840246864,30.395139529355582,
EURUSD,2025-12,trend_only,99,0.3838383838383838,-0.06152275484118504,11.18288389075284,
EURUSD,2025-12,pattern_only,132,0.45454545454545453,0.12164387649888195,9.179666974864917,
EURUSD,2025-12,composite_default,76,0.3026315789473684,-0.23546236222834968,20.651024858345043,
EURUSD,2026-01,orb_only,58,0.3448275862068966,-0.17050192829478406,16.7975689934767,
EURUSD,2026-01,trend_only,90,0.4888888888888889,0.2045299114726606,5.4978712112686114,
EURUSD,2026-01,pattern_only,119,0.3949579831932773,-0.05318975489200267,26.743665649224848,
EURUSD,2026-01,composite_default,65,0.4307692307692308,0.04785981782927643,11.797568993475755,
GBPUSD,2025-11,orb_only,47,0.2553191489361702,-0.35558804877795763,19.468936626084215,
GBPUSD,2025-11,trend_only,92,0.34782608695652173,-0.16852595551134972,17.02615058253611,
GBPUSD,2025-11,pattern_only,118,0.4576271186440678,0.09776730784155584,8.276932567699768,
GBPUSD,2025-11,composite_default,60,0.3,-0.23369324701300542,17.277893154300735,
GBPUSD,2025-12,orb_only,60,0.2833333333333333,-0.325372903036332,21.022374182180066,
GBPUSD,2025-12,trend_only,109,0.3853211009174312,-0.05871555461871468,12.880381506283616,
GBPUSD,2025-12,pattern_only,141,0.41843971631205673,-0.01109550702165639,15.845393092889223,
GBPUSD,2025-12,composite_default,76,0.35526315789473684,-0.1689476195889124,19.14472803000042,
GBPUSD,2026-01,orb_only,58,0.39655172413793105,-0.08286778355850917,8.42074891140591,
GBPUSD,2026-01,trend_only,98,0.3673469387755102,-0.131013982239051,16.41744583993097,
GBPUSD,2026-01,pattern_only,131,0.42748091603053434,0.02667617002415776,7.57810274750213,
GBPUSD,2026-01,composite_default,72,0.3888888888888889,-0.06096826190737863,12.934549751780073,
USDJPY,2025-11,orb_only,52,0.21153846153846154,-0.448094194543047,25.80089811623844,
USDJPY,2025-11,trend_only,96,0.3958333333333333,-0.033371766236960844,15.20368955874865,
USDJPY,2025-11,pattern_only,121,0.4132231404958678,0.0075324963614324825,9.582475328446964,
USDJPY,2025-11,composite_default,68,0.3382352941176471,-0.14600407072330177,17.928276809184197,
USDJPY,2025-12,orb_only,63,0.2698412698412698,-0.3480664112683589,26.999999999999442,
USDJPY,2025-12,trend_only,98,0.46938775510204084,0.16552357314717103,12.143169214660569,
USDJPY,2025-12,pattern_only,127,0.36220472440944884,-0.08759980552651057,14.125175301866864,
USDJPY,2025-12,composite_default,73,0.3424657534246575,-0.16383562917897426,25.910792871005903,
USDJPY,2026-01,orb_only,62,0.25806451612903225,-0.40133800375890594,25.38295623305209,
USDJPY,2026-01,trend_only,97,0.3711340206185567,-0.13145207831516512,18.299758178234526,
USDJPY,2026-01,pattern_only,127,0.4015748031496063,-0.017628986351375782,13.077760156661633,
USDJPY,2026-01,composite_default,76,0.3026315789473684,-0.2939903071618767,24.343263344302624,
USDCHF,2025-11,orb_only,50,0.36,-0.1797586884105752,14.646498838015823,
USDCHF,2025-11,trend_only,93,0.41935483870967744,0.04588426261724958,10.23921165920802,
USDCHF,2025-11,pattern_only,115,0.5043478260869565,0.24161669273425837,8.500000000000062,
USDCHF,2025-11,composite_default,75,0.4,-0.03183285642586798,15.763673521400914,
USDCHF,2025-12,orb_only,51,0.2549019607843137,-0.3405545788968027,21.36695610364209,
USDCHF,2025-12,trend_only,101,0.4158415841584158,0.02311802220739922,12.03256796701201,
USDCHF,2025-12,pattern_only,134,0.44029850746268656,0.04787697962354283,13.499999999999705,
USDCHF,2025-12,composite_default,63,0.3492063492063492,-0.1371250036049065,15.156982282574926,
USDCHF,2026-01,orb_only,51,0.35294117647058826,-0.1496650761295722,14.132918882608074,
USDCHF,2026-01,trend_only,97,0.3711340206185567,-0.0727208387942711,12.32620680180464,
USDCHF,2026-01,pattern_only,125,0.368,-0.1034875528906486,16.43594411133114,
USDCHF,2026-01,composite_default,60,0.38333333333333336,-0.11240962743002446,13.24457764580169,
AUDUSD,2025-11,orb_only,58,0.29310344827586204,-0.2729591230196492,21.831629135139575,
AUDUSD,2025-11,trend_only,96,0.375,-0.059921128984416004,12.908866377458455,
AUDUSD,2025-11,pattern_only,122,0.4098360655737705,-0.01592710715871732,12.49999999999997,
AUDUSD,2025-11,composite_default,69,0.3333333333333333,-0.17108791780682964,21.017515534890713,
AUDUSD,2025-12,orb_only,60,0.31666666666666665,-0.2005964729262851,18.415834047028586,
AUDUSD,2025-12,trend_only,104,0.3173076923076923,-0.25105861796485984,27.78014525918596,
AUDUSD,2025-12,pattern_only,127,0.4330708661417323,0.04283517334558366,12.634116125930788,
AUDUSD,2025-12,composite_default,78,0.3076923076923077,-0.24518032294035977,22.50411086080024,
AUDUSD,2026-01,orb_only,65,0.2153846153846154,-0.4688226330209577,31.97347114636214,
AUDUSD,2026-01,trend_only,96,0.4270833333333333,0.08465665874395427,8.612042851698945,
AUDUSD,2026-01,pattern_only,118,0.4067796610169492,-0.013181177398218051,14.479888616341649,
AUDUSD,2026-01,composite_default,75,0.26666666666666666,-0.34425771268974276,27.31932845173059,
USDCAD,2025-11,orb_only,54,0.3148148148148148,-0.2133177320860254,14.51915753264581,
USDCAD,2025-11,trend_only,82,0.4146341463414634,0.027257172226762272,9.764911877405643,
USDCAD,2025-11,pattern_only,109,0.3853211009174312,-0.1181649615836966,23.001224679146144,
USDCAD,2025-11,composite_default,66,0.2878787878787879,-0.2997019742581697,25.019157532645455,
USDCAD,2025-12,orb_only,59,0.3728813559322034,-0.11212012647222717,12.982533761694121,
USDCAD,2025-12,trend_only,104,0.34615384615384615,-0.1925690311255122,21.996961958649965,
USDCAD,2025-12,pattern_only,139,0.3381294964028777,-0.20911343164195856,31.207656266505914,
USDCAD,2025-12,composite_default,83,0.39759036144578314,-0.07072500407943529,16.000055035674876,
USDCAD,2026-01,orb_only,69,0.2463768115942029,-0.4237787089783707,31.240730919507712,
USDCAD,2026-01,trend_only,104,0.47115384615384615,0.14893277132252009,17.35439186590964,
USDCAD,2026-01,pattern_only,137,0.40875912408759124,-0.036569565050619,24.26040919576542,
